Index of pulse,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
1,0.6,0.608,0.336,0.22399999999999998,0.152,0.376,0.224,0.096,0.08,0.072,0.055999999999999994,0.048,0.039999999999999994,0.023999999999999994,0.376,0.208,0.152,0.11200000000000002,0.08000000000000002,0.07200000000000001,0.04000000000000001,0.472,0.288,0.22399999999999998,0.168,0.128,0.112,0.064,0.9531066410532595,-0.323789440504751,-0.6388685647045722,-0.7786187762421748,-1.2009914817664,-0.1649269517308354,-1.0360645300355646
2,0.592,0.5840000000000001,0.328,0.16799999999999998,0.16000000000000003,0.424,0.26399999999999996,0.12,0.09599999999999997,0.08799999999999997,0.07200000000000006,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.3679999999999999,0.264,0.11199999999999999,0.08799999999999997,0.06399999999999995,0.05599999999999994,0.03200000000000003,0.4879999999999999,0.36,0.19999999999999996,0.16000000000000003,0.12,0.10399999999999998,0.06400000000000006,1.4267407005569068,0.3350848126833029,0.0977247295663638,0.09220407968529432,-1.6348587497695388,1.018459954354237,-2.653318704123776
3,0.5920000000000001,0.5999999999999999,0.36,0.20000000000000007,0.15200000000000014,0.392,0.23999999999999988,0.1120000000000001,0.09600000000000009,0.08800000000000008,0.07200000000000006,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.3599999999999999,0.15999999999999992,0.1359999999999999,0.09599999999999986,0.07199999999999984,0.06399999999999983,0.039999999999999813,0.472,0.256,0.22399999999999998,0.16799999999999993,0.1279999999999999,0.11199999999999988,0.07199999999999984,1.5673094251149524,0.33781547465305695,0.049016839094371656,-0.011614057804631872,0.6214868829685464,1.617476777411367,-0.9959898944428206
4,0.5999999999999999,0.6000000000000001,0.336,0.16799999999999987,0.15999999999999992,0.432,0.2720000000000001,0.11199999999999988,0.09599999999999986,0.08799999999999986,0.07199999999999984,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.3599999999999999,0.1280000000000001,0.1120000000000001,0.08800000000000008,0.06400000000000006,0.05600000000000005,0.03200000000000003,0.47199999999999975,0.22399999999999998,0.19999999999999996,0.15999999999999992,0.1200000000000001,0.10400000000000009,0.06400000000000006,1.4939875039431068,0.2898875534164216,0.08274910223497117,0.07760668584185304,-2.724978935298572,0.4605453690734666,-3.1855243043720387
5,0.5920000000000001,0.5920000000000001,0.344,0.20800000000000007,0.16000000000000014,0.384,0.22399999999999987,0.1120000000000001,0.09600000000000009,0.08800000000000008,0.07200000000000006,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.35199999999999987,0.14400000000000013,0.1200000000000001,0.09600000000000009,0.07200000000000006,0.05600000000000005,0.03200000000000003,0.46399999999999997,0.2400000000000002,0.20800000000000018,0.16800000000000015,0.1280000000000001,0.10400000000000009,0.06400000000000006,1.4240950701605448,0.19601826432105857,-0.03625901691155109,-0.11191371676466,2.452752541604998,2.2473107255915297,0.20544181601346834
6,0.6000000000000001,0.5920000000000001,0.344,0.19200000000000012,0.16000000000000014,0.408,0.24799999999999983,0.1200000000000001,0.09600000000000009,0.08800000000000008,0.07200000000000006,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.3759999999999999,0.21599999999999975,0.12799999999999967,0.09600000000000009,0.07200000000000006,0.06400000000000006,0.03200000000000003,0.496,0.31199999999999983,0.21599999999999975,0.16800000000000015,0.1280000000000001,0.1120000000000001,0.06400000000000006,1.5793505532539447,0.40011437862011956,0.08813937724603771,0.03440258180472955,-1.3280894051960763,0.8728901261236136,-2.20097953131969
7,0.5840000000000001,0.6000000000000001,0.344,0.1760000000000001,0.15200000000000014,0.408,0.25599999999999984,0.1120000000000001,0.09600000000000009,0.08800000000000008,0.07200000000000006,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.35199999999999987,0.13599999999999968,0.11999999999999966,0.09599999999999964,0.07199999999999962,0.055999999999999606,0.031999999999999584,0.46399999999999997,0.23199999999999976,0.20799999999999974,0.1679999999999997,0.12799999999999967,0.10399999999999965,0.06399999999999961,1.4823700757328475,0.24457940537477102,0.04152020060355599,0.025800285864223116,-1.9624676183383323,0.619195251934146,-2.581662870272478
8,0.6159999999999997,0.5999999999999996,0.352,0.17599999999999966,0.16800000000000015,0.44,0.27199999999999985,0.1200000000000001,0.09600000000000009,0.08800000000000008,0.07200000000000006,0.05600000000000005,0.04800000000000004,0.03200000000000003,0.37599999999999945,0.13600000000000012,0.1200000000000001,0.09600000000000009,0.07200000000000006,0.05600000000000005,0.03200000000000003,0.49599999999999955,0.2320000000000002,0.20800000000000018,0.16800000000000015,0.1280000000000001,0.10400000000000009,0.06400000000000006,1.503901536235579,0.3162434720396426,0.0736156509478676,0.059940755139153534,-6.151700721320499,-1.1833304077180256,-4.968370313602474
9,0.5840000000000005,0.5919999999999996,0.344,0.16800000000000054,0.15200000000000014,0.416,0.26399999999999985,0.1120000000000001,0.08800000000000008,0.08000000000000007,0.06400000000000006,0.05600000000000005,0.040000000000000036,0.02400000000000002,0.3600000000000003,0.14400000000000013,0.1200000000000001,0.09600000000000009,0.07200000000000006,0.06400000000000006,0.040000000000000036,0.4720000000000004,0.2320000000000002,0.20000000000000018,0.16000000000000014,0.1280000000000001,0.10400000000000009,0.06400000000000006,1.2604845470117856,0.21920637168299265,-0.006610694215558932,-0.01156259887115274,0.921980047167769,1.713213682505498,-0.791233635337729
10,0.5919999999999996,0.5920000000000005,0.344,0.18399999999999966,0.15999999999999925,0.408,0.24800000000000072,0.11199999999999921,0.0959999999999992,0.08799999999999919,0.07199999999999918,0.05599999999999916,0.047999999999999154,0.023999999999999133,0.3680000000000003,0.15200000000000014,0.1280000000000001,0.09600000000000009,0.07200000000000006,0.06400000000000006,0.040000000000000036,0.47999999999999954,0.24799999999999933,0.2159999999999993,0.16799999999999926,0.12799999999999923,0.11199999999999921,0.06399999999999917,1.2995198514580322,0.2997064286721258,0.0458499195329623,0.01197407693060415,-1.0017018814881113,0.8827278875297114,-1.8844297690178227
